Quote ID,Product Name,Purchased Year,Luxury Brand,Selling Platform,Quote Date,Quote Price,Sold Price,Category,Condition,Status,Payment Method
2842302,ALEXANDER WANG Rhinestone Mesh Mini,2019,Alexander Wang,Fashionphile,2022-11-03,300,300,handbag,Pre-owned,Completed,ACH
2455752,BALENCIAGA Agneau Classic Hardware City,2014,Balenciaga,Fashionphile,2022-04-27,450,450,handbag,Pre-owned,Completed,Paypal
2455734,BALENCIAGA Chevre Gold Metallic Edge,2013,Balenciaga,Fashionphile,2022-04-26,950,950,handbag,Pre-owned,Completed,Paypal
18640,Baobao Issey Miyake clutch,2020,Baobao,CoutureUSA,2022-11-16,142.5,0,handbag,New,Seller Declined,N/A
18957,Burberry Nova check tote,2016,Burberry,CoutureUSA,2022-12-05,290,0,handbag,Pre-owned,Seller Declined,N/A
895933,Burberry Pocket Bag Check Canvas and Leather Mini,2020,Burberry,Rebag,2022-11-14,420,0,handbag,New,Seller Declined,N/A
18261,Burberry Pocket Bag Check Canvas and Leather Mini,2020,Burberry,CoutureUSA,2022-11-02,514.5,0,handbag,New,Seller Declined,N/A
18319,Burberry Thomas Bear Bag Charm key chain,2017,Burberry,CoutureUSA,2022-11-05,85,0,accessories,New,Seller Declined,N/A
18265,Burberry vintage check calfskin barrel bag,2020,Burberry,CoutureUSA,2022-11-02,400,0,handbag,New,Seller Declined,N/A
887418,Burberry vintage check calfskin barrel bag,2020,Burberry,Rebag,2022-11-01,315,0,handbag,New,Seller Declined,N/A
2856075,Burberry vintage check calfskin barrel bag,2020,Burberry,Fashionphile,2022-11-22,450,450,handbag,New,Completed,ACH
18263,Chanel aged calfskin Gabrielle wallet on a chain,2019,Chanel,CoutureUSA,2022-11-02,1500,1500,accessories,Pre-owned,Completed,N/A
18641,Chanel Cap-toe ballerina flats,2018,Chanel,CoutureUSA,2022-11-16,440,0,shoes,New,Seller Declined,N/A
897701,Chanel Cap-toe ballerina flats,2018,Chanel,Rebag,2022-11-16,200,0,shoes,New,Seller Declined,N/A
18268,CHANEL Caviar Quilted Business Affinity Bag,2019,Chanel,CoutureUSA,2022-11-02,2800,0,accessories,New,Seller Declined,N/A
2834666,CHANEL Caviar Quilted Business Affinity Bag,2019,Chanel,Fashionphile,2022-11-22,3500,3500,handbag,New,Completed,ACH
880919,CHANEL Caviar Quilted Business Affinity Bag,2019,Chanel,Rebag,2022-10-24,3310,0,handbag,New,Seller Declined,N/A
18320,Chanel Caviar Quilted Classic Zipped Coin Purse,2019,Chanel,CoutureUSA,2022-11-05,549.5,549.5,accessories,Pre-owned,Completed,Paypal
887418,Chanel Caviar Quilted Classic Zipped Coin Purse,2019,Chanel,Rebag,2022-11-01,440,0,accessories,Pre-owned,Seller Declined,N/A
2834669,CHANEL CC Bow Sunglasses 5171,2014,Chanel,Fashionphile,2022-11-15,150,150,accessories,Pre-owned,Completed,ACH
18381,Chanel CC Trainer Sneakers - Navy,2021,Chanel,CoutureUSA,2022-11-08,680,0,shoes,Pre-owned,Seller Declined,N/A
892164,Chanel CC Trainer Sneakers - Navy,2022,Chanel,Rebag,2022-11-08,580,0,shoes,Pre-owned,Seller Declined,N/A
895933,Chanel Classic Single Flap Bag Quilted Caviar Mini,2019,Chanel,Rebag,2022-11-14,3685,0,handbag,Pre-owned,Seller Declined,N/A
17843,Chanel Gabrielle small hobo bag in black/white,2018,Chanel,CoutureUSA,2022-10-07,1700,0,handbag,Pre-owned,Seller Declined,N/A
18655,Chanel Gabrielle Wallet on a chain,2019,Chanel,CoutureUSA,2022-11-17,1500,0,handbag,Pre-owned,Seller Declined,N/A
895933,Chanel Gabrielle Wallet on a chain,2019,Chanel,Rebag,2022-11-14,1575,0,handbag,Pre-owned,Seller Declined,N/A
2811299,CHLOE Cotton Calfskin Large Woody,2019,Chloe,Fashionphile,2022-10-21,550,550,handbag,New,Completed,ACH
2811324,CHLOE Suede Calfskin Mini Faye,2018,Chloe,Fashionphile,2022-10-17,400,400,handbag,New,Completed,ACH
18959,Gucci GG wool shawl brown/grey,2018,Gucci,CoutureUSA,2022-12-05,0,0,accessories,Pre-owned,Unable to Quote,N/A
2856082,GUCCI Pebbled Calfskin Small Soho,2020,Gucci,Fashionphile,2022-11-15,700,700,handbag,Pre-owned,Completed,ACH
18266,Gucci Princetown strawberry mules,2019,Gucci,CoutureUSA,2022-11-02,304.5,304.5,shoes,New,Completed,Paypal
887418,Gucci Princetown strawberry mules,2019,Gucci,Rebag,2022-11-01,200,0,shoes,New,Seller Declined,N/A
18267,Gucci Soho Disco crossbody bag Beige,2017,Gucci,CoutureUSA,2022-11-02,560,0,handbag,Pre-owned,Seller Declined,N/A
887418,Gucci Soho Disco crossbody bag Beige,2017,Gucci,Rebag,2022-11-01,510,0,handbag,Pre-owned,Seller Declined,N/A
18960,GUCCI Wool Silk Monogram Shawl,2015,Gucci,CoutureUSA,2022-12-05,0,0,accessories,Pre-owned,Unable to Quote,N/A
2913252,GUCCI Wool Silk Monogram Shawl,2015,Gucci,Fashionphile,2022-11-28,75,82.5,accessories,Pre-owned,Completed,Gift Card
18264,Hermes 18 Kelly Epsom belt red,2018,Hermès,CoutureUSA,2022-11-02,440,0,accessories,Pre-owned,Seller Declined,N/A
18642,Hermès bouncing sneakers - Grey,2022,Hermès,CoutureUSA,2022-11-16,479.5,0,shoes,New,Seller Declined,N/A
18379,Hermès bouncing sneakers - White,2022,Hermès,CoutureUSA,2022-11-08,440,0,shoes,New,Seller Declined,N/A
892164,Hermès bouncing sneakers - White,2022,Hermès,Rebag,2022-11-08,380,0,shoes,New,Seller Declined,N/A
895933,Hermes Constance Bag Tadelakt 18,2018,Hermès,Rebag,2022-11-14,5370,0,handbag,Pre-owned,Seller Declined,N/A
18956,Hermès Kelly Belt 18 Epsom Calfskin,2018,Hermès,CoutureUSA,2022-12-05,500,500,accessories,Pre-owned,Completed,Paypal
887418,Hermes lindy 30 clemence Black,2018,Hermès,Rebag,2022-11-01,4345,0,handbag,Pre-owned,Seller Declined,N/A
17845,Hermès lindy 30 clemence Black,2018,Hermès,CoutureUSA,2022-10-07,3500,0,handbag,Pre-owned,Seller Declined,N/A
18639,Hermès Paris women's loafers,2022,Hermès,CoutureUSA,2022-11-16,500,0,shoes,New,Seller Declined,N/A
897701,Hermès Paris women's loafers,2022,Hermès,Rebag,2022-11-16,370,0,shoes,New,Seller Declined,N/A
17851,Hermès platform leather trainer sneaker,2018,Hermès,CoutureUSA,2022-10-08,230,230,shoes,Pre-owned,Completed,Paypal
2881682,HERMES Silicone 40mm Apple Sports Watch Band,2018,Hermès,Fashionphile,2022-11-28,100,100,accessories,Pre-owned,Completed,ACH
17846,Hermès small Kelly 4 diamond ring,2018,Hermès,CoutureUSA,2022-10-07,710,0,accessories,Pre-owned,Seller Declined,N/A
2819371,HERMES Swift Leather 40mm Apple Watch Band,2018,Hermès,Fashionphile,2022-10-21,100,100,accessories,New,Completed,ACH
18403,Jimmy Choo pointed-toe powder pink flats,2018,Jimmy Choo,CoutureUSA,2022-11-10,95,0,shoes,New,Seller Declined,N/A
18955,Loewe Paula's Ibiza Raffia square tote,2022,Loewe,CoutureUSA,2022-12-05,444.5,0,handbag,New,Seller Declined,N/A
2813122,LOUIS VUITTON Damier Ebene Eva,2014,Louis Vuitton,Fashionphile,2022-10-21,700,700,handbag,Pre-owned,Completed,ACH
2811421,LOUIS VUITTON Denim Damier Monogram,2019,Louis Vuitton,Fashionphile,2022-10-17,500,500,handbag,Pre-owned,Completed,ACH
2842297,LOUIS VUITTON Empreinte Montaigne Nano,2020,Louis Vuitton,Fashionphile,2022-11-03,1000,1000,handbag,Pre-owned,Completed,ACH
881585,LOUIS VUITTON Empreinte Montaigne Nano,2020,Louis Vuitton,Rebag,2022-10-24,600,0,handbag,Pre-owned,Seller Declined,N/A
18380,Louis Vuitton mini pochette accessoires damier ebene,2018,Louis Vuitton,CoutureUSA,2022-11-08,380,0,accessories,Pre-owned,Seller Declined,N/A
18958,Louis Vuitton Monogram Wool Silk Scarf,2016,Louis Vuitton,CoutureUSA,2022-12-05,0,0,accessories,Pre-owned,Unable to Quote,N/A
2834675,Louis Vuitton Monogram Wool Silk Scarf,2016,Louis Vuitton,Fashionphile,2022-11-03,300,300,accessories,Pre-owned,Completed,ACH
18321,MANOLO BLAHNIK Hangisi Metallic Fabric Buckle Flats,2018,MANOLO BLAHNIK,CoutureUSA,2022-11-05,304.5,304.5,shoes,Pre-owned,Completed,Paypal
887418,MANOLO BLAHNIK Hangisi Metallic Fabric Buckle Flats,2018,MANOLO BLAHNIK,Rebag,2022-11-01,210,0,shoes,Pre-owned,Seller Declined,N/A
17954,Prada Patent Ballet Flats - Burgundy,2016,Prada,CoutureUSA,2022-10-13,55,0,shoes,Pre-owned,Seller Declined,N/A
2834672,TOM FORD Angela Sunglasses TF438,2020,Tom Ford,Fashionphile,2022-11-15,75,75,accessories,Pre-owned,Completed,ACH
2811343,VALENTINO GARAVANI Nylon Camouflage Backpack,2017,Valentino Garavani,Fashionphile,2022-10-17,100,100,handbag,Pre-owned,Completed,ACH
18262,Van Cleef & Arpels Vintage Alhambra pendant 18K Mother-of-pearl white gold,2019,Van Cleef & Arpels,CoutureUSA,2022-11-02,1600,1600,accessories,Pre-owned,Completed,N/A
887418,Van Cleef & Arpels Vintage Alhambra pendant 18K Mother-of-pearl white gold,2019,Van Cleef & Arpels,Rebag,2022-11-01,1525,0,accessories,Pre-owned,Seller Declined,N/A